Type Water Body,State Name,MIN Temprature,MAX Temprature,MIN Dissolved O2,MAX Dissolved O2,MIN pH,MAX pH,MIN Conductivity,MAX Conductivity,MIN BOD,MAX BOD,MIN N+,MAX N+,MIN Fecal Coliform,MAX Fecal Coliform,MIN Total Coliform,MAX Total Coliform
POND,GUJARAT,28.0,31.0,7.0,7.8,7.5,8.4,369.0,564.0,1.0,1.9,0.3,0.57,2.0,17.0,10.0,120.0
POND,GUJARAT,20.0,30.0,5.4,8.2,7.3,8.4,413.0,1038.0,1.0,2.5,0.04,0.32,2.0,110.0,27.0,280.0
TANK,GUJARAT,22.0,35.0,2.6,7.7,7.1,8.5,440.0,1360.0,8.0,29.0,0.32,1.04,6.0,540.0,50.0,920.0
LAKE,HARYANA,20.4,32.0,6.5,7.2,7.0,7.9,860.0,1360.0,4.0,9.0,0.8,3.2,6600.0,39000.0,32000.0,110000.0
LAKE,HIMACHALPRADESH,14.0,23.0,8.4,9.7,7.2,8.0,187.0,380.0,1.0,1.0,0.32,2.14,94.0,540.0,280.0,1600.0
LAKE,HIMACHALPRADESH,4.0,17.0,5.7,7.1,6.1,7.7,62.0,113.0,1.0,2.0,0.3,1.9,2.0,2.0,31.0,84.0
LAKE,HIMACHALPRADESH,13.0,26.0,6.0,9.2,7.1,8.2,109.0,225.0,1.0,1.0,0.3,1.2,2.0,2.0,25.0,63.0
LAKE,HIMACHALPRADESH,10.0,22.0,6.5,8.9,7.3,8.5,372.0,625.0,1.0,2.0,0.32,0.82,26.0,46.0,130.0,350.0
LAKE,HIMACHALPRADESH,11.0,27.0,5.3,9.8,6.9,8.3,58.0,746.0,1.0,5.0,0.41,1.74,110.0,920.0,920.0,1600.0
LAKE,JAMMU  KASHMIR,15.0,26.0,6.2,6.6,7.9,8.6,168.0,236.0,3.1,4.1,0.03,0.04,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,9.2,26.1,3.6,7.1,7.3,7.7,225.0,479.0,1.5,2.8,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU  KASHMIR,8.3,26.3,0.5,3.6,7.2,7.4,300.0,725.0,3.3,8.7,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,7.1,26.4,1.4,5.6,7.2,7.4,274.0,552.0,2.4,5.3,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,7.3,24.0,3.5,7.2,7.3,7.8,217.0,2889.0,1.2,2.8,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,8.9,25.8,0.7,2.6,7.1,7.4,274.0,676.0,3.5,7.6,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,13.0,25.8,4.3,9.0,7.3,8.1,179.0,217.0,2.0,4.4,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,14.0,28.2,0.5,4.5,7.1,7.7,264.0,350.0,5.4,13.6,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,13.5,28.0,0.7,5.0,7.1,7.7,273.0,310.0,4.4,10.5,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,11.2,25.5,3.4,7.5,7.2,7.9,166.0,2110.0,2.1,2.9,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,11.3,28.0,3.3,7.5,7.0,8.3,161.0,206.0,2.0,3.7,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,11.7,27.3,4.7,7.6,7.1,7.9,170.0,200.0,2.7,3.3,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,14.0,27.8,4.0,9.0,7.5,8.2,161.0,430.0,2.3,6.4,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,13.0,26.4,6.0,9.5,7.5,8.1,101.0,237.0,1.3,3.4,0.6,2.9,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,13.5,27.4,2.8,8.3,7.4,8.5,183.0,420.0,1.0,8.5,0.02,0.02,41.0,321.0,280.0,920.0
LAKE,JAMMU KASHMIR,13.8,28.0,4.5,9.8,7.5,8.3,206.0,311.0,2.2,5.6,0.6,2.9,41.0,321.0,280.0,920.0
